plasmid_id,plasmid_name,TGframe,orf_frame,strand,start,stop,length_aa,overlap,has_promoter,has_polyA,dist_promoter,dist_polyA,expressible,is_risk
100518,pLC242-GFP-metap2,-,1,+,4207,4605,133,outside_target_gene,TRUE,TRUE,7,46,FALSE,FALSE
100518,pLC242-GFP-metap2,-,2,+,3833,4147,105,outside_target_gene,TRUE,TRUE,3362,504,FALSE,FALSE
100518,pLC242-GFP-metap2,1,3,+,1392,3689,766,spanning_target_gene,TRUE,TRUE,921,962,TRUE,FALSE
100518,pLC242-GFP-metap2,-,2,-,4111,4509,133,outside_target_gene,TRUE,TRUE,3640,142,FALSE,FALSE
100518,pLC242-GFP-metap2,-,3,-,6303,7163,287,outside_target_gene,TRUE,TRUE,1059,135,FALSE,FALSE
102878,ET8-GPIba-6His,-,1,+,613,1581,323,outside_target_gene,TRUE,TRUE,44,1450,FALSE,FALSE
102878,ET8-GPIba-6His,-,1,+,4312,4698,129,outside_target_gene,TRUE,TRUE,206,467,FALSE,FALSE
102878,ET8-GPIba-6His,-,2,+,4955,5404,150,outside_target_gene,TRUE,TRUE,849,3871,FALSE,FALSE
102878,ET8-GPIba-6His,1,3,+,2178,2909,244,spanning_target_gene,TRUE,TRUE,1609,122,TRUE,FALSE
102878,ET8-GPIba-6His,-,3,+,4140,4934,265,outside_target_gene,TRUE,TRUE,34,231,FALSE,FALSE
102878,ET8-GPIba-6His,-,1,-,4449,4985,179,outside_target_gene,TRUE,TRUE,343,180,FALSE,FALSE
101293,GFP-mROCK1-delta5,-,1,+,3841,4227,129,outside_target_gene,TRUE,TRUE,206,467,FALSE,FALSE
101293,GFP-mROCK1-delta5,1,2,+,614,2416,601,spanning_target_gene,TRUE,TRUE,44,144,TRUE,FALSE
101293,GFP-mROCK1-delta5,-,2,+,4484,4933,150,outside_target_gene,TRUE,TRUE,849,3399,FALSE,FALSE
101293,GFP-mROCK1-delta5,-,3,+,3669,4463,265,outside_target_gene,TRUE,TRUE,34,231,FALSE,FALSE
101293,GFP-mROCK1-delta5,-,2,-,3978,4514,179,outside_target_gene,TRUE,TRUE,343,180,FALSE,FALSE
100727,FKBP-beta2(616-951)-GFP Y215A,1,1,+,670,2769,700,spanning_target_gene,TRUE,TRUE,97,122,TRUE,FALSE
100727,FKBP-beta2(616-951)-GFP Y215A,-,1,+,4000,4794,265,outside_target_gene,TRUE,TRUE,34,231,FALSE,FALSE
100727,FKBP-beta2(616-951)-GFP Y215A,-,2,+,4172,4558,129,outside_target_gene,TRUE,TRUE,206,467,FALSE,FALSE
100727,FKBP-beta2(616-951)-GFP Y215A,-,3,+,4815,5264,150,outside_target_gene,TRUE,TRUE,849,3727,FALSE,FALSE
100727,FKBP-beta2(616-951)-GFP Y215A,-,3,-,4309,4845,179,outside_target_gene,TRUE,TRUE,343,180,FALSE,FALSE
100727,FKBP-beta2(616-951)-GFP Y215A,-,3,-,1366,1797,144,outside_target_gene,TRUE,TRUE,793,1094,FALSE,FALSE
102935,pOTTC946 - pAAV CMV-IE NK1R-IRES-EGFP,-,1,+,745,1968,408,outside_target_gene,TRUE,TRUE,32,1460,FALSE,FALSE
102935,pOTTC946 - pAAV CMV-IE NK1R-IRES-EGFP,1,1,+,2572,3303,244,spanning_target_gene,TRUE,TRUE,1859,125,TRUE,FALSE
102935,pOTTC946 - pAAV CMV-IE NK1R-IRES-EGFP,-,1,+,4768,5628,287,outside_target_gene,TRUE,TRUE,0,4248,FALSE,FALSE
102935,pOTTC946 - pAAV CMV-IE NK1R-IRES-EGFP,-,3,-,1369,1839,157,outside_target_gene,TRUE,TRUE,656,1589,FALSE,FALSE
100798,pAAV-syn-FLEX-splitTVA-EGFP-tTA,-2,1,+,1351,1653,101,partial_target_gene,TRUE,TRUE,745,1904,TRUE,TRUE
100798,pAAV-syn-FLEX-splitTVA-EGFP-tTA,-,1,+,2959,3570,204,outside_target_gene,TRUE,TRUE,2353,6508,FALSE,FALSE
100798,pAAV-syn-FLEX-splitTVA-EGFP-tTA,-,2,+,4841,5701,287,outside_target_gene,TRUE,TRUE,0,4377,FALSE,FALSE
100798,pAAV-syn-FLEX-splitTVA-EGFP-tTA,-,3,+,183,683,167,outside_target_gene,TRUE,TRUE,1863,2874,FALSE,FALSE
100798,pAAV-syn-FLEX-splitTVA-EGFP-tTA,-1,3,+,1389,2843,485,spanning_target_gene,TRUE,TRUE,783,714,TRUE,TRUE
100798,pAAV-syn-FLEX-splitTVA-EGFP-tTA,-,1,-,3440,3979,180,outside_target_gene,TRUE,TRUE,2834,6099,FALSE,FALSE
