plasmid_id,total_orfs,total_orfs_factor
4,1,1
1736,1,1
8387,2,2
8389,2,2
8438,2,2
8439,2,2
8440,2,2
8462,1,1
8515,1,1
8928,1,1
10843,2,2
10844,1,1
10845,1,1
10952,2,2
10961,1,1
11106,2,2
11107,1,1
11150,3,3
11153,2,2
11154,2,2
11155,2,2
11159,1,1
11347,1,1
11348,1,1
11546,1,1
11642,1,1
11643,1,1
11644,1,1
11651,1,1
11680,1,1
11770,1,1
11779,1,1
11908,1,1
11928,2,2
11939,1,1
11941,1,1
12091,1,1
12092,1,1
12193,1,1
12243,2,2
12247,1,1
12252,2,2
12254,1,1
12257,1,1
12283,1,1
12284,1,1
12286,1,1
12298,2,2
12301,1,1
12304,1,1
12305,1,1
12337,1,1
12597,1,1
12599,2,2
12600,2,2
12601,2,2
12605,1,1
12660,1,1
12663,1,1
12664,1,1
12674,1,1
12678,1,1
12965,2,2
12967,2,2
12968,2,2
12975,2,2
12976,2,2
12980,2,2
12981,2,2
12982,2,2
12986,2,2
13009,1,1
13010,1,1
13031,1,1
13378,1,1
13382,1,1
13389,2,2
13608,1,1
13719,1,1
13720,2,2
13721,2,2
13776,2,2
14106,2,2
14186,1,1
14203,1,1
14324,2,2
14430,1,1
14688,1,1
14715,2,2
14717,1,1
14746,1,1
14747,2,2
14748,1,1
14760,3,3
14858,1,1
14883,1,1
14884,1,1
14885,2,2
14901,1,1
14935,1,1
14996,1,1
14998,1,1
15037,1,1
15192,1,1
15199,1,1
15215,1,1
15216,1,1
15226,1,1
15233,2,2
15238,1,1
15567,1,1
15925,2,2
16004,1,1
16071,2,2
16072,2,2
16073,2,2
16225,1,1
16228,1,1
16275,2,2
16404,2,2
16405,2,2
16529,2,2
16542,1,1
16543,1,1
16544,1,1
16545,1,1
16610,2,2
16612,1,1
16654,1,1
17114,2,2
17234,1,1
17444,1,1
17446,1,1
17447,1,1
17448,1,1
17449,1,1
17551,1,1
17578,2,2
17616,1,1
17618,2,2
17620,1,1
17623,1,1
17626,1,1
17653,1,1
17656,1,1
17661,1,1
17662,1,1
17663,1,1
17705,1,1
17708,2,2
17843,2,2
17844,1,1
17880,1,1
17924,2,2
17990,1,1
18671,1,1
18680,2,2
18780,1,1
18836,2,2
18837,2,2
18870,1,1
18874,2,2
19010,1,1
19031,1,1
19053,1,1
19055,1,1
19069,2,2
19070,1,1
19123,2,2
19125,2,2
19319,1,1
19444,1,1
19484,1,1
19487,2,2
19732,1,1
19741,1,1
19742,1,1
20275,2,2
20671,2,2
20672,1,1
20676,2,2
20677,2,2
20680,2,2
20681,2,2
20692,1,1
20963,1,1
20964,2,2
20965,2,2
20977,2,2
20978,1,1
21073,1,1
21074,1,1
21153,2,2
21179,1,1
21210,1,1
21218,1,1
21224,1,1
21225,1,1
21226,1,1
21276,2,2
21310,2,2
21314,1,1
21320,1,1
21367,2,2
21549,2,2
21576,1,1
21577,1,1
21635,1,1
21636,1,1
21664,1,1
21920,1,1
21981,1,1
22037,2,2
22073,1,1
22074,1,1
22122,1,1
22123,1,1
22141,2,2
22163,1,1
22197,1,1
22198,1,1
22199,3,3
22213,1,1
22228,1,1
22286,1,1
22293,2,2
22299,1,1
22300,1,1
22450,4,4
22453,2,2
22612,1,1
22715,1,1
22745,2,2
22852,1,1
22912,2,2
22914,2,2
22919,2,2
22952,1,1
22958,2,2
23001,2,2
23009,1,1
23010,1,1
23017,1,1
23225,1,1
23229,1,1
23255,1,1
23334,1,1
24061,2,2
24064,2,2
24129,1,1
24219,1,1
24295,1,1
24296,1,1
24304,1,1
24305,1,1
24931,1,1
24932,1,1
24983,1,1
24984,1,1
24987,2,2
25030,1,1
25031,2,2
25033,1,1
25040,2,2
25395,1,1
25868,1,1
25869,1,1
25870,1,1
25999,1,1
26164,2,2
26285,1,1
26431,2,2
26585,2,2
26646,2,2
26673,2,2
26674,1,1
26719,2,2
26722,2,2
26724,1,1
26732,1,1
26734,1,1
26735,1,1
26737,1,1
26741,1,1
26777,1,1
26821,2,2
26822,1,1
27052,1,1
27082,1,1
27099,1,1
27121,2,2
27219,2,2
27220,2,2
27305,2,2
27323,2,2
27379,1,1
27467,1,1
27557,1,1
27569,1,1
28014,1,1
28022,1,1
28040,1,1
28045,2,2
28046,2,2
28047,2,2
28048,2,2
28049,2,2
28088,1,1
28089,1,1
28176,1,1
28197,1,1
28230,1,1
28235,1,1
29004,1,1
29435,2,2
29559,1,1
29752,1,1
30112,2,2
30130,1,1
30310,1,1
30313,2,2
30494,1,1
31059,1,1
31071,2,2
31391,1,1
31502,1,1
31796,2,2
31842,1,1
31937,2,2
31938,1,1
31972,1,1
31980,1,1
32227,1,1
32395,1,1
32453,2,2
32500,2,2
32520,1,1
32538,1,1
32564,1,1
32610,1,1
32702,2,2
32751,1,1
32828,1,1
32894,1,1
32955,1,1
32956,1,1
33025,1,1
33238,2,2
33239,2,2
33308,1,1
33322,1,1
34554,1,1
34681,1,1
34686,2,2
34687,2,2
34857,3,3
35024,1,1
35140,1,1
35142,1,1
35411,1,1
35489,1,1
35491,2,2
35492,2,2
35493,1,1
35615,1,1
35623,1,1
35640,1,1
35676,1,1
35691,1,1
35958,1,1
36083,1,1
36155,2,2
36189,2,2
36190,2,2
36416,1,1
36450,1,1
36456,1,1
36906,1,1
36989,1,1
37057,2,2
37080,1,1
37091,1,1
37120,1,1
37215,1,1
37560,1,1
38119,1,1
38120,2,2
38153,1,1
38193,1,1
38194,2,2
38195,1,1
38196,2,2
38249,1,1
38269,2,2
38272,1,1
38277,3,3
38282,2,2
38283,1,1
38296,2,2
38776,1,1
38777,2,2
39299,1,1
39321,1,1
39536,1,1
39541,1,1
39554,1,1
39556,1,1
39862,1,1
39863,1,1
40037,2,2
40038,2,2
40039,1,1
40125,2,2
40261,2,2
40262,2,2
40348,1,1
40350,1,1
40625,1,1
40649,1,1
40768,1,1
40822,1,1
40823,1,1
40868,1,1
40879,1,1
40907,2,2
40973,3,3
40975,3,3
40976,4,4
